x,y,Name,Genes
3.1464229,1.3342102,GADD45GIP1,MRPL28 MRPL48 MRPS18A MRPL27 MRPL24 MRPL46 MRPL47 MRPL22 MRPL10 MRPL32 MRPL51 MRPL30 MRPL50 MRPL19 MRPL17 MRPL39 MRPL18 MRPL37 MRPL38 MRPL16 MRPL13 MRPL57 MRPL35 MRPL14 MRPL55 MRPL33 MRPL11 MRPL34 MRPL12 MRPL20 MRPL43 MRPL21 MRPL4 MRPL40 MRPL3 MRPL2 MRPL41 ICT1 MRPL9 
-0.042063273,-9.5968,DPYSL3,DPYSL2 HPCA MAPT VSNL1 STX1B SYN1 SNCB 
-0.13125464,-9.435134,L1CAM,NAPB HPCA CAMK2A NCALD ANK2 SNAP91 SYN1 MAPT DPYSL3 VSNL1 CDH13 STX1B DNM1L SNCB 
19.175493,-12.089012,POLR2D,POLR2A POLR2B RPRD1A RPRD2 POLR2G GPN1 MYZAP RPRD1B POLR2I RPAP2 POLR2J 
17.34604,-2.0796123,NFRKB,INO80C INO80E ACTR5 INO80 UCHL5 
9.234343,3.5844326,PSMC5,PSMD10 PSMD13 PSMD12 PSMD14 PSMD9 PSMC6 PSMD7 PSMD5 PSMC2 PSMD3 PSMC3 PSMD4 PSMD1 PSMC1 PSMD2 PAAF1 
20.81065,-8.496667,TXNDC16,COL18A1 POGLUT1 GALNS ARSK FUT11 CERCAM SIAE 
15.8905945,-6.4026794,STX5,VAMP8 GOSR1 STX8 GOSR2 STX7 STX6 VTI1A STX10 SEC22B 
0.7474227,-17.851143,CNOT7,CNOT6L CNOT6 CNOT2 CNOT3 RQCD1 CNOT11 TOB2 TNKS1BP1 
14.017482,6.7937145,MPPED1,MPPED2 PHKG2 PHKA2 PHKB PHKA1 NR2F6 
12.134987,4.2115507,SLC25A5,TUFM RPS8 RPL22 RPL21 RPS9 RPS7 RPL23A RPS3A RPL27A CANX RPL27 SLC25A6 RPS25 RPL6 SLC25A4 RPL3 RPL30 RPL11 RPL10 RPLP2 RPL13 YBX1 ATP5A1 ATP5C1 RPL10A ATP5O RPL7 RPS4X RPS15 RPL14 RPL39 RPS3 RPS15A RPS27A 
13.752317,3.4786747,DKC1,DHX30 STAU2 MPHOSPH10 PES1 PAPD5 WDR36 LARP7 RPF2 NOP56 
3.1192796,1.2888399,MRPL15,GADD45GIP1 MTERF3 MRPL28 MRPL48 MRPS18A MRPL27 MRPL24 MRPL46 MRPL47 MRPL22 MRPL23 MRPL53 MRPL54 MRPL10 MRPL32 MRPL51 MRPL30 MRPL52 MRPL50 MRPL19 MRPL17 MRPL39 MRPL18 MRPL37 MRPL38 MRPL16 MRPL35 MRPL13 MRPL57 MRPL14 MRPL33 MRPL55 MRPL11 MRPL34 MRPL12 NGRN MRPL20 MRPL4 MRPL21 MRPL43 MRPL3 MRPL40 MRPL41 MRPL2 MRPL9 ICT1 
13.998613,6.448361,ENO3,FKBP2 TPI1 MPI TAGLN3 TKT 
18.849533,-6.135947,YBX1,TUFM RPS8 RPL22 RPL21 RPS9 RPS7 RPS3A RPL27A FAU HNRNPC RPS20 RPL27 RPS25 RPL26L1 RPL3 RPL30 RPL11 HSP90AB1 RPL10 RPLP2 RPL13 RPL34 HNRNPU ATP5O RPS15 G3BP1 PES1 RPS5 RPL14 RPL39 RPS3 RPS15A 
13.627663,7.179848,USP7,ZNF609 BCL6 TRIM27 ETV6 ACTL8 DHX40 
10.026388,-13.37421,RRS1,RBM28 ZNF771 DDX27 IMP3 MPHOSPH10 DDX21 PAPD5 MRPS22 RPF2 DHX30 EBNA1BP2 MYBBP1A DKC1 PES1 RPS5 GZF1 NOP56 FYTTD1 
20.303406,4.7306285,CDK19,MED23 MED14 MED17 MED12L MED29 
13.483573,6.8936057,TMED10,TMED9 TMED4 TMED3 TMED2 TMED1 TICAM2 TMED5 
